term_id,prefLabel@en,altLabel@en,definition@en,prefLabel@es,altLabel@es,definition@es,prefLabel@de,altLabel@de,definition@de,prefLabel@nl,altLabel@nl,definition@nl,iate_id
LT5277766,Ambient,ambient,"The portion of the atmosphere, external to buildings, to which the general public has access.",aire ambiente,aire ambiente,,Atmosphäre,Umgebungs-,,omgevingslucht,omgevingslucht,,803838
LT5277766,Ambient,environmental,"The portion of the atmosphere, external to buildings, to which the general public has access.",aire ambiente,aire ambiente,,Atmosphäre,Umgebungs-,,omgevingslucht,omgevingslucht,,803838
LT5277766,Ambient,free air,"The portion of the atmosphere, external to buildings, to which the general public has access.",aire ambiente,aire ambiente,,Atmosphäre,Umgebungs-,,omgevingslucht,omgevingslucht,,803838
LT5277766,Ambient,ambient air,"The portion of the atmosphere, external to buildings, to which the general public has access.",aire ambiente,aire ambiente,,Atmosphäre,Umgebungs-,,omgevingslucht,omgevingslucht,,803838
LT5277766,Ambient,ambient air,"The portion of the atmosphere, external to buildings, to which the general public has access.",aire ambiente,aire ambiente,,Atmosphäre,Umgebungs-,,omgevingslucht,omgevingslucht,,803838
LT5277766,Ambient,ambient air,"The portion of the atmosphere, external to buildings, to which the general public has access.",aire ambiente,aire ambiente,,Atmosphäre,Umgebungs-,,omgevingslucht,omgevingslucht,,803838
LT5277766,Ambient,ambient air,"The portion of the atmosphere, external to buildings, to which the general public has access.",aire ambiente,aire ambiente,,Atmosphäre,Umgebungs-,,omgevingslucht,omgevingslucht,,803838
LT5277766,Ambient,ambient,"The portion of the atmosphere, external to buildings, to which the general public has access.",aire ambiente,aire ambiente,,Atmosphäre,Umgebungs-,,omgevingslucht,omgevingslucht,,803838
LT5277766,Ambient,ambient,"The portion of the atmosphere, external to buildings, to which the general public has access.",aire ambiente,aire ambiente,,Atmosphäre,Umgebungs-,,omgevingslucht,omgevingslucht,,803838
LT5277766,Ambient,ambient,"The portion of the atmosphere, external to buildings, to which the general public has access.",aire ambiente,aire ambiente,,Atmosphäre,Umgebungs-,,omgevingslucht,omgevingslucht,,803838
LT5277766,Ambient,ambient,"The portion of the atmosphere, external to buildings, to which the general public has access.",aire ambiente,aire ambiente,,Atmosphäre,Umgebungs-,,omgevingslucht,omgevingslucht,,803838
LT5277766,Ambient,ambient,"The portion of the atmosphere, external to buildings, to which the general public has access.",aire ambiente,aire ambiente,,Atmosphäre,umgebend,,omgevingslucht,omgevingslucht,,803838
LT5277766,Ambient,ambient,"The portion of the atmosphere, external to buildings, to which the general public has access.",aire ambiente,aire ambiente,,Atmosphäre,Außenluft,,omgevingslucht,omgevingslucht,,803838
LT5277766,Ambient,ambient,"The portion of the atmosphere, external to buildings, to which the general public has access.",aire ambiente,aire ambiente,,Atmosphäre,Umgebungsluft,,omgevingslucht,omgevingslucht,,803838
